[MAI|[00:00]]-- COMPILE DATE : Ver:3/18, BuildDate:Mar 18 2011 18:11:26 --

[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:9, Recv--67022887,49780, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:9, Recv--67022887,49780, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:9, Recv--67022887,49780, Server-0,0
[R08|[00:00]][ERROR] GetRelayTarget IPPORT Slot:10, Recv-509878962,49780, Server-0,0
[CON|[00:00]][Warring] OnUpdate RevokeGroup Idx:1705, Create:84048, Server:85085, Port:40006
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:12, Recv--2145566503,49780, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:5, Recv-393229407,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[CON|[00:00]][Warring] OnUpdate RevokeGroup Idx:1740, Create:84585, Server:85099, Port:40007
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--1150517217,49780, Server-0,0
[R00|[00:00]][ERROR] GetRelayTarget IPPORT Slot:0, Recv--66368421,4, Server-0,0
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:9, Recv--833520547,49780, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:10, Recv-408712921,2169, Server-0,0
[R01|[00:00]][ERROR] GetRelayTarget IPPORT Slot:0, Recv--1037267106,49780, Server-0,0
[R03|[00:00]][ERROR] RecvPacket - ErrorCode(WSAECONNRESET) Count : 189
[R09|[00:00]][ERROR] GetRelayTarget IPPORT Slot:3, Recv-1574214238,49780, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--545828515,49780, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv--545828515,49780, Server-0,0
